value.Community,value.Location,value.Frequency,value.Period
C19,APARTMENT,352,Day
C20,STREET,250,Day
C20,RESIDENCE,236,Day
C20,APARTMENT,124,Day
C21,STREET,309,Day
C21,RESIDENCE,258,Day
C21,APARTMENT,201,Day
C22,STREET,801,Day
C22,RESIDENCE,391,Day
C22,APARTMENT,389,Day
C23,STREET,1300,Day
C23,SIDEWALK,970,Day
C23,RESIDENCE,815,Day
C24,STREET,1654,Day
C24,RESIDENCE,631,Day
C24,APARTMENT,539,Day
C25,STREET,2433,Day
C25,RESIDENCE,1873,Day
C25,APARTMENT,1546,Day
C26,STREET,880,Day
C26,SIDEWALK,738,Day
C26,APARTMENT,496,Day
C27,STREET,736,Day
C27,APARTMENT,491,Day
C27,SIDEWALK,466,Day
C28,STREET,1559,Day
C28,PARKING LOT/GARAGE(NON.RESID.),497,Day
C28,OTHER,468,Day
C29,STREET,1307,Day
C29,SIDEWALK,1101,Day
C29,APARTMENT,936,Day
C30,STREET,828,Day
C30,RESIDENCE,477,Day
C30,APARTMENT,355,Day
C31,STREET,353,Day
C31,RESIDENCE,268,Day
C31,APARTMENT,227,Day
C32,RESTAURANT,1580,Day
C32,DEPARTMENT STORE,960,Day
C32,STREET,824,Day
C33,STREET,243,Day
C33,OTHER,164,Day
C33,RESIDENCE,152,Day
C34,STREET,172,Day
C34,RESIDENCE,62,Day
C34,SIDEWALK,50,Day
C35,STREET,370,Day
C35,APARTMENT,223,Day
C35,RESIDENCE,208,Day
C36,STREET,117,Day
C36,APARTMENT,86,Day
C36,RESIDENCE,79,Day
C37,STREET,153,Day
C37,RESIDENCE,69,Day
C37,GAS STATION,53,Day
C38,STREET,558,Day
C38,APARTMENT,425,Day
C38,RESIDENCE,345,Day
C39,STREET,251,Day
C39,APARTMENT,229,Day
C39,RESIDENCE,165,Day
C40,APARTMENT,468,Day
C40,STREET,435,Day
C40,RESIDENCE,256,Day
C41,STREET,261,Day
C41,APARTMENT,168,Day
C41,RESIDENCE,152,Day
C42,APARTMENT,719,Day
C42,STREET,468,Day
C42,RESIDENCE,385,Day
C43,APARTMENT,1591,Day
C43,STREET,1061,Day
C43,RESIDENCE,1036,Day
C44,APARTMENT,768,Day
C44,STREET,751,Day
C44,RESIDENCE,739,Day
C45,RESIDENCE,225,Day
C45,STREET,169,Day
C45,"SCHOOL, PUBLIC, BUILDING",86,Day
C46,RESIDENCE,806,Day
C46,STREET,613,Day
C46,APARTMENT,477,Day
C47,RESIDENCE,82,Day
C47,STREET,53,Day
C47,SIDEWALK,15,Day
C48,RESIDENCE,277,Day
C48,STREET,221,Day
C48,SIDEWALK,55,Day
C49,RESIDENCE,1508,Day
C49,STREET,1022,Day
C49,SIDEWALK,349,Day
C50,RESIDENCE,156,Day
C50,STREET,134,Day
C50,DEPARTMENT STORE,79,Day
C51,RESIDENCE,317,Day
C51,STREET,220,Day
C51,OTHER,65,Day
C52,RESIDENCE,225,Day
C52,STREET,172,Day
C52,APARTMENT,60,Day
C53,RESIDENCE,1008,Day
C53,STREET,615,Day
C53,APARTMENT,175,Day
C54,RESIDENCE,227,Day
C54,STREET,167,Day
C54,CHA APARTMENT,126,Day
C55,RESIDENCE,155,Day
C55,STREET,82,Day
C55,PARKING LOT/GARAGE(NON.RESID.),26,Day
C56,RESIDENCE,306,Day
C56,STREET,213,Day
C56,PARKING LOT/GARAGE(NON.RESID.),83,Day
C57,RESIDENCE,112,Day
C57,STREET,93,Day
C57,OTHER,69,Day
C58,STREET,303,Day
C58,RESIDENCE,271,Day
C58,APARTMENT,186,Day
C59,STREET,149,Day
C59,RESIDENCE,113,Day
C59,APARTMENT,65,Day
C60,STREET,232,Day
C60,RESIDENCE,220,Day
C60,APARTMENT,100,Day
C61,STREET,711,Day
C61,RESIDENCE,586,Day
C61,APARTMENT,390,Day
C62,RESIDENCE,194,Day
C62,STREET,118,Day
C62,APARTMENT,44,Day
C63,RESIDENCE,366,Day
C63,STREET,347,Day
C63,APARTMENT,133,Day
C64,RESIDENCE,185,Day
C64,STREET,109,Day
C64,OTHER,55,Day
C65,RESIDENCE,302,Day
C65,STREET,253,Day
C65,DEPARTMENT STORE,104,Day
C66,RESIDENCE,962,Day
C66,STREET,805,Day
C66,APARTMENT,517,Day
C67,RESIDENCE,1428,Day
C67,STREET,1044,Day
C67,SIDEWALK,470,Day
C68,RESIDENCE,889,Day
C68,STREET,819,Day
C68,APARTMENT,637,Day
C69,STREET,920,Day
C69,APARTMENT,821,Day
C69,RESIDENCE,789,Day
C70,RESIDENCE,544,Day
C70,STREET,344,Day
C70,OTHER,121,Day
C71,RESIDENCE,1222,Day
C71,STREET,1066,Day
C71,APARTMENT,818,Day
C72,RESIDENCE,179,Day
C72,STREET,119,Day
C72,PARKING LOT/GARAGE(NON.RESID.),33,Day
C73,RESIDENCE,730,Day
C73,STREET,462,Day
C73,SIDEWALK,111,Day
C74,RESIDENCE,136,Day
C74,STREET,47,Day
C74,RESIDENTIAL YARD (FRONT/BACK),19,Day
C75,RESIDENCE,460,Day
C75,STREET,266,Day
C75,SMALL RETAIL STORE,77,Day
C76,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,156,Day
C76,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,151,Day
C76,GOVERNMENT BUILDING/PROPERTY,92,Day
C77,APARTMENT,327,Day
C77,STREET,292,Day
C77,RESIDENCE,218,Day
