Community,LocationNight,FrequencyNight
C25,ATHLETIC CLUB,2
C25,MOVIE HOUSE/THEATER,2
C25,"SCHOOL, PRIVATE, GROUNDS",2
C25,ABANDONED BUILDING,2
C25,WAREHOUSE,2
C25,HIGHWAY/EXPRESSWAY,2
C25,GOVERNMENT BUILDING/PROPERTY,2
C25,VEHICLE-COMMERCIAL,2
C25,PORCH,2
C25,SPORTS ARENA/STADIUM,2
C25,CAR WASH,2
C25,BANK,2
C25,CHA APARTMENT,1
C25,COIN OPERATED MACHINE,1
C25,CLEANING STORE,1
C25,POOL ROOM,1
C25,CONSTRUCTION SITE,1
C25,APPLIANCE STORE,1
C25,PARKING LOT,1
C25,HOUSE,1
C25,MEDICAL/DENTAL OFFICE,1
C25,VEHICLE - OTHER RIDE SERVICE,1
C26,STREET,457
C26,APARTMENT,258
C26,SIDEWALK,226
C26,RESIDENCE,163
C26,GAS STATION,84
C26,ALLEY,60
C26,RESIDENTIAL YARD (FRONT/BACK),45
C26,RESIDENCE PORCH/HALLWAY,38
C26,VEHICLE NON-COMMERCIAL,30
C26,PARKING LOT/GARAGE(NON.RESID.),27
C26,OTHER,26
C26,VACANT LOT/LAND,12
C26,RESTAURANT,11
C26,CTA STATION,8
C26,GROCERY FOOD STORE,8
C26,ABANDONED BUILDING,7
C26,CTA TRAIN,4
C26,CTA BUS,3
C26,VEHICLE-COMMERCIAL,3
C26,CONVENIENCE STORE,3
C26,BAR OR TAVERN,3
C26,NURSING HOME/RETIREMENT HOME,3
C26,CTA BUS STOP,3
C26,RESIDENCE-GARAGE,3
C26,SMALL RETAIL STORE,3
C26,HOTEL/MOTEL,2
C26,BARBERSHOP,2
C26,TAXICAB,2
C26,CTA PLATFORM,2
C26,COMMERCIAL / BUSINESS OFFICE,2
C26,TAVERN/LIQUOR STORE,1
C26,PARK PROPERTY,1
C26,SPORTS ARENA/STADIUM,1
C26,"SCHOOL, PUBLIC, BUILDING",1
